Name,Date,Prev_close,Close,Per_diff
PANAMAPET,01-04-2021 00:00,145.05,177.35,22.26818339
PANAMAPET,03-05-2021 00:00,177.35,220.2,24.16126304
PANAMAPET,01-06-2021 00:00,220.2,236.5,7.40236149
PANAMAPET,01-07-2021 00:00,236.5,269.35,13.89006342
PANAMAPET,02-08-2021 00:00,269.35,267.95,-0.519769816
PANAMAPET,01-09-2021 00:00,267.95,266.25,-0.634446725
PANAMAPET,01-10-2021 00:00,266.25,264.95,-0.488262911
PANAMAPET,01-11-2021 00:00,264.95,238.75,-9.888658237
PANAMAPET,01-12-2021 00:00,238.75,248.45,4.062827225
PANAMAPET,03-01-2022 00:00,248.45,296.5,19.33990743
PANAMAPET,01-02-2022 00:00,296.5,266.85,-10
PANSARI,19-10-2021 00:00,55,73.55,33.72727273
PANSARI,02-11-2021 00:00,73.55,168.05,128.4840245
PANSARI,01-12-2021 00:00,168.05,176.45,4.998512348
PANSARI,04-01-2022 00:00,125.75,121,-3.777335984
PANSARI,01-02-2022 00:00,121,119.1,-1.570247934
MMTC,01-01-2020 00:00,18.75,20.3,8.266666667
MMTC,01-02-2020 00:00,20.3,17.05,-16.00985222
MMTC,02-03-2020 00:00,17.05,12.3,-27.85923754
MMTC,01-04-2020 00:00,12.3,14.7,19.51219512
MMTC,04-05-2020 00:00,14.7,15.1,2.721088435
MMTC,01-06-2020 00:00,15.1,16.8,11.25827815
MMTC,01-07-2020 00:00,16.8,18.2,8.333333333
MMTC,03-08-2020 00:00,18.2,18.65,2.472527473
MMTC,01-09-2020 00:00,18.65,16.2,-13.13672922
MMTC,01-10-2020 00:00,16.2,15.8,-2.469135802
MMTC,02-11-2020 00:00,15.8,18.7,18.35443038
MMTC,01-12-2020 00:00,18.7,26.45,41.44385027
MMTC,01-01-2021 00:00,26.45,28.45,7.561436673
MMTC,01-02-2021 00:00,28.45,39.85,40.07029877
MMTC,01-03-2021 00:00,39.85,42.35,6.273525721
MMTC,01-04-2021 00:00,42.35,40.85,-3.541912633
MMTC,03-05-2021 00:00,40.85,60.1,47.12362301
MMTC,01-06-2021 00:00,60.1,56.6,-5.823627288
MMTC,01-07-2021 00:00,56.6,50.45,-10.86572438
MMTC,02-08-2021 00:00,50.45,44,-12.78493558
MMTC,01-09-2021 00:00,44,44.9,2.045454545
MMTC,01-10-2021 00:00,44.9,41.95,-6.570155902
MMTC,01-11-2021 00:00,41.95,39.15,-6.674612634
MMTC,01-12-2021 00:00,39.15,44.25,13.02681992
MMTC,03-01-2022 00:00,44.25,61.1,38.07909605
MMTC,01-02-2022 00:00,61.1,50.75,-16.93944354
KNRCON,01-01-2020 00:00,249.5,301.25,20.74148297
KNRCON,01-02-2020 00:00,301.25,265.3,-11.93360996
KNRCON,02-03-2020 00:00,265.3,196.5,-25.93290614
